August_4,July,March_4,June_3,April_3,March,November_6,May_4,July_8,July_13,April,June_5,July_12,June_2,July_2,March_2,March_5,November_3,August_3,April_5,August_7,July_7,April_6,January_2,November_5,August_8,July_10,October_3,May_3,September,August_5,May_6,November_10,June_6,May_5,November_7,August_2,April_4,November_9,August,November_4,March_3,June_4,April_2,July_11,February_2,May,July_5,November_2,July_9,October,November,July_6,February,August_6,January,July_4,June,October_4,July_3,October_2,November_8,May_2,April_7,August_9
2.626064562445449,2.8679928391676834,2.68389673445524,2.9755771729958593,2.9354437985871136,2.0191300375364922,2.556468806888521,2.514763556750274,2.882033792266432,3.296743530956264,2.277429082377236,2.481946781248182,3.185576103626944,3.1451996366480306,2.6692530109071564,3.162804069856787,3.0779744605231754,2.614570101613553,2.8693572415640354,2.582529116387054,2.7080925518370815,2.2826503253250214,2.722539154281719,3.0041601542479777,3.1962846314786186,2.773506117944941,2.596167352288897,2.5389450227439987,2.851212429034043,2.6703758464166407,3.1569469781572925,2.920364823162798,2.163623995782778,3.3249592023885026,2.7913284386363872,2.3622165989175556,2.8739715131222296,2.8345380919068095,2.2351906984671364,3.2929591183472007,2.949204044082202,3.055508322089075,3.0873505519849727,2.786863733322954,2.1469309170693065,3.039950667984013,2.3774343831587657,2.6780890637465724,2.8072767961365566,2.6096833307688856,2.805518142212997,2.8447457579699815,3.1249685654301884,2.6540356234301017,2.76283354165206,2.481121930229628,3.085547263999731,2.657121886555239,2.3187872589006515,2.9407240809010733,2.4561636118908194,2.783031068931825,2.238085300897885,2.724102944313793,2.2992357276652178
2.7742781421605747,2.7415052448193893,2.9097974824770656,2.8767354324176178,2.906051402619296,1.9482710018682634,2.9824782277302027,2.6603124152801496,2.425809236682504,3.0525863091227725,2.502951662720066,2.5895822494753036,3.3351844265982056,2.8319808955703083,2.4666518859806175,3.198609730414457,3.0352937703370926,2.9962713022413654,2.8872416939741803,2.2850949163799226,2.6133432314150054,2.738341356465149,2.5679970947908575,2.9776480484807,2.9004434149199634,2.129185657839727,2.1850816371852817,2.2986538120083635,2.791151737604083,2.2371313425719093,2.8490893672964286,2.63059234506175,2.283637139863288,2.977645693293247,2.821008633832699,2.8259746421450456,2.3407488853347176,2.7312795699468624,2.1894360587208688,3.10302630130203,3.0472188339857595,2.7128440552813693,3.0538725997841123,2.6148305521916475,2.035095640569333,2.9291239703526863,2.3032512450426528,2.486622255089941,2.6608851322525915,2.5338379966835505,2.6421564799680706,2.6027783840293344,2.744011869698529,2.5836856304362583,2.8289921680095733,2.4678331939489886,2.596342707429989,2.4684608823790426,2.1548903951426754,2.689949543230989,2.6498550830429406,2.492468095272824,2.3787618286765064,2.359602072886544,2.627639369027535
2.499430711292935,2.994352214739217,2.4840001034565096,3.2056698258536116,2.926099016159139,2.0916015072179945,2.5682680653176138,2.475603440817558,3.172075518391112,3.0145425003750166,2.3611699715811247,2.426723044411393,3.174366394877498,2.9207967189779565,2.3384987036367244,2.6417407828213815,2.6099331729892326,2.6745491633187988,2.758238100441417,2.345667113962838,2.4490655648685333,2.1407424579483996,2.7292349586037075,2.905340165082473,3.3525220699089155,2.4621297968116087,2.4786938378801646,2.259452518679913,3.0065751417756608,2.564877110297498,2.975635097808944,2.821748670732196,2.3519755950411376,3.246092110404597,2.7676066790759353,2.2407295657772393,2.426931254208793,2.6014978376188296,1.9968015501355094,2.8430688853803363,2.954491163229438,2.4370741692392874,3.32878890192868,2.7522538229737723,2.2694727694159824,2.749851345575654,2.748824033882813,2.589836247277787,2.324690092215811,2.889004539026642,2.816381642606709,2.727999561522987,3.1091467740480305,2.3611765994566527,2.510541135563041,2.138964381139234,3.4911753018911282,2.7416126534596605,2.3390130322364797,3.0922945420248853,2.4851919028381513,2.7198203418230307,2.4844358536004503,2.454535527015172,2.474675827813757
2.622355217600832,2.4959623564820896,2.4873422283671376,3.114917939467316,3.197463118933094,2.2073633912969854,2.366544543234487,2.44256816558548,2.48920422047519,3.1968426735369393,2.523286747955773,2.354069441103476,3.1634455814691553,3.034078842035491,2.3054142001581064,2.8519126318215884,2.894167050419227,2.890138415833585,2.9451139942780133,2.5420067326917977,2.5181278139970478,2.1703653625449197,2.5973692503293693,3.0142474392609304,2.9233000221839434,2.6991503833622428,2.49626661280778,2.4842187928582753,2.9866416239387004,2.679179565883838,2.964801737203249,2.6782828833938055,2.478256714261973,3.1252503279204977,3.2234977250184156,2.306203068021742,2.5041028415162714,2.639095579670022,2.522355375565333,3.0247742186239375,2.604225658072386,2.570699951913298,3.1226070175271516,2.769797706883276,2.1236868798811326,3.056716539761318,2.472182658964685,2.690331773242722,2.402279074071389,2.5881065233148064,2.801817238118355,2.1519469418808517,2.8445644421052654,2.380546277199557,2.370075341656151,2.281906619146862,2.766211124130716,2.5734087891110047,2.2931850602341095,2.7820666979518043,2.3897764124946317,3.0438776757921215,2.4129186067429127,2.313504871677717,2.267062404232565
2.6009067675515385,2.8705277289018434,2.9812341229587678,2.8324232564303826,2.840210014982991,2.076201909793769,2.335205756300834,2.7004558703491215,2.490351606624362,3.141107670874931,2.17415984747487,2.1954648517368303,2.9862452992179764,2.741874114391918,2.337755237068183,3.0018651766478843,2.830051396936412,2.6533282833920047,2.777022930937462,2.7221258717250256,2.626926071187436,2.3556050984057597,2.9283123803615383,2.9198691351113917,3.1980649389560973,2.734878153324645,2.538260893463532,2.091323792743468,2.711962104049171,2.7004269920503776,2.896331175252684,2.959996230671966,2.2613491826425713,3.0116929520265425,2.5857146941355285,2.2324539115075694,2.682195086533867,2.743939145215534,2.4790634858603817,3.2755420063461393,2.9394298447840304,2.841351312142046,2.815479025997111,2.548164337721087,2.1468914598820015,3.0811982142279315,2.4718093001961754,2.6016623059629755,2.7397598635573663,2.5213327063144373,2.6369953020633887,2.6389446697913486,2.869155399743815,2.673897933675262,2.5110157686964953,2.1059513211523595,2.8967071821928925,2.2596499408122024,2.1832804015205136,2.9200197378441737,2.2649409853281877,2.7590852320221475,2.1607530460893782,2.6108288196151612,2.703597424189424
2.5398781707012286,2.429005051670822,2.4223749171203,2.8931739886993144,2.9867878502945655,2.0776450650357856,2.198305928727971,2.4000724375059477,2.8553761172096053,3.2566307970836945,2.314296465239468,2.1850233251566027,3.086472477134222,3.1072420792320137,2.4322841203993706,2.973441706301789,2.6360724942958047,2.895258228056339,2.637969986487221,2.169826776883214,2.18498422025214,2.297583038528525,2.6088334325406755,3.190735357303302,2.7739138866529007,2.2062454457473333,2.428157183851592,2.3614180180115336,3.248907295263863,2.3854191374752824,2.964442841266966,2.7704863311597743,2.104849153195206,3.11939881125931,2.950198952520611,2.7568001884377207,2.5803273228124013,2.3568419902477826,1.8644605239454615,2.9800353527165697,2.907586649140439,2.750799468084212,3.0604286369969467,2.6763049854323215,2.0997540191736586,2.8870591725828336,2.6989695184758684,2.57646233570334,2.369043047938688,2.371496063432249,2.9485165055516367,2.137657551795642,2.7851219655568538,2.612255056085346,2.3979813704988793,2.207532552550831,3.048078824159424,2.54209778009954,2.2639667583461955,2.7368869363888426,2.685012020305456,2.4616005595918553,2.4886981839774482,2.4479235435983946,2.331166734822217
2.4541861042395277,2.6641492603515995,2.5331205569309625,2.775996273369541,3.1400859585071346,2.4365262386343662,2.653738333331885,2.6172772486858467,2.820657173131209,3.442626626283992,2.4960470898997604,2.401178004138985,3.1819712310871173,2.9850012379189113,2.482080829920834,2.819343699113474,2.6956602731675687,2.718340016854372,2.707707711404346,2.437427922715982,2.2363086376812595,2.2862956619970776,2.6098641482621145,2.9480555354384657,3.2295284959916226,2.4028508338726704,2.704641165103977,2.189169562801415,2.6774546671679227,2.239515260524758,3.1072190209342607,2.7157090151752348,2.301054099432977,2.834318314278342,2.9731667713499466,2.1999289406723013,2.642289739839215,2.621815671655851,2.3878334968701527,2.915869481784007,2.66783904196256,2.996457869453678,2.901305950322978,2.6281921356510027,2.2162115521973726,2.699022663775383,2.480755610535672,2.7142191007710754,2.8294728240288394,2.498979945799146,2.7765677962352746,2.785180722837769,2.9972546888683937,2.5257482312749704,2.350668751593488,2.3612991335559563,3.0773646163087123,2.364161109944712,2.222293887050052,3.17256580541994,2.4013409946906332,2.657287600834431,2.325557219003922,2.45207014290392,2.4869435662454205
2.6035553602302843,2.543806135112438,2.3262737586282065,2.9465930825936235,3.0547114515976084,2.2441635930398958,2.3420429014590436,2.4535830505651606,2.6226456755796455,3.2839950831523788,2.1087628033223735,2.0457288794036588,3.11880682985483,2.95857806136843,2.30639105110138,3.073693624787284,2.862940426308848,2.6899870509338055,2.642296887854339,2.281268178451736,2.0734049442404063,2.4649853419945003,2.464493292764029,3.070969971659783,2.8838069821494345,2.542986443117977,2.4524267983337467,2.7154122533925977,3.0506328904578983,2.4301227475840363,2.8983978552932843,2.700729611680785,2.4036446058154692,3.0574530489235454,2.6008715121453148,2.5035769060222686,2.7710160793703085,2.520823373111757,2.138553563667295,3.067748089914759,2.922953582203561,2.6663128298410013,2.8611366807795697,2.759175951932961,2.179914124117804,3.0978194683487645,2.1848471781793286,2.6440984742651015,2.6330781107705934,2.390828810531056,3.0025781823993283,2.4234209581401913,2.753240776119667,2.3918845601860577,2.4128160634904674,2.5195623234935804,2.823496766590085,2.4181515721255717,2.2806781430095397,2.7080082780978896,2.3133680230772393,2.6785766058267337,2.3213246857730394,2.28804266584854,2.604854413539918
2.7168651848871734,2.574818292737516,2.803581112822876,2.9264491631475513,2.997020235972817,2.134491347474428,2.7414496979163037,2.658991557096448,2.6635608365073478,3.504776939507253,2.1834053414252095,1.9855041870388965,3.3051429917148547,3.0117225233861884,2.2572755555952866,2.9729266452154786,2.817928774201185,2.849966611590792,2.8074216307991113,2.326753714777589,2.2992603054352854,2.3153162811565275,2.6584031968859136,2.989830218184593,2.9120008121786216,2.362402096235039,2.545364986142884,2.2700595589965444,2.6490236407546464,2.6931656226600564,2.7274766628478693,2.651792169129966,2.315636734157936,2.921343329637907,2.3911061908970677,2.385153471112902,2.3669828125861154,2.739737038010779,2.5358136247928904,3.191692198825229,2.8630674862336987,3.0280277989346183,2.7914870158172045,2.699911217886006,2.174887609428505,3.1122966363509583,2.4135757446349473,2.383246436393082,2.592482960614473,2.436434364595185,2.667705876381178,2.593341875433118,2.835129543396192,2.5155876199612948,2.7064602955717385,2.2821858274055016,2.828570006741268,2.7629630143450923,2.191902871057497,2.7031545190347845,2.3947404323658557,2.810535629308778,2.3163817449258457,2.667949389720145,2.5136973943907535
2.8940930418265896,2.676459892521404,2.5922242514445397,2.82966205852047,2.8822056945525842,1.8967037317588018,2.575564075712384,2.395666443626684,2.6856850711976903,3.5432890977650624,2.1209647368621396,2.220270146882683,3.4919065270021257,2.784707138490378,2.4749720125555656,3.0176630280356918,2.78440760661061,2.784288291162488,2.7915709044838066,2.714963843777594,2.4947409615297667,2.5555771487281858,2.6791291207522074,2.7546120756703374,3.204999710382005,2.532425733921276,2.419809812843328,1.9864234632895836,3.1984977335003753,2.3358026700999615,2.8040329332761966,2.786406843537672,2.1582187235417187,3.353555518841813,2.609478583534088,2.251245003821859,2.788701007550326,2.8674976489178445,2.3306087711575807,2.9186667991554747,2.5130540473826573,2.764188955950507,2.8383321826323002,2.7073801900374272,2.26957211721699,2.8311200554376965,2.2749607846402697,2.7966738594586125,2.7509143803813116,2.6072479829679254,2.644719898138132,2.3612802888138678,3.036789050583986,2.1946180613489723,2.7292294436421223,1.9876968490926405,2.927675054284066,2.5845835666874764,2.0661806087089953,2.9042988243551378,2.1898126632447603,2.627365350263141,2.158231561293562,2.547445164988654,2.7938400379475814
2.471970313019871,2.267742188666175,2.833102679772793,2.9884624554064807,3.1808901490928045,2.1988338117245165,2.793295572904133,2.3464053209727753,2.365230909049024,3.1149786281095415,2.604542368186349,2.4103939701951447,2.925911971325971,2.973048971128226,2.2018662208515565,2.904695742256664,2.73548451259791,2.723069553930967,2.7022859716807193,2.5736439202011216,2.2018601546751757,2.3265165587642933,2.7564061705438996,3.1175119147686194,2.9446990840535894,2.3318946262025992,2.4040476899731686,2.294459609576746,3.0643898037422805,2.425169852415245,2.873002952360051,2.7674183122197564,2.013071742982693,3.09798877675182,2.859572543277896,2.4344423891553415,2.6745684566584744,2.5370775297735064,2.240363144846291,2.976172266899059,2.8046934548611664,2.741913611685927,3.0533946665689786,2.909312255800722,2.0941499997007362,2.7637204041514685,2.3942033633626227,2.505539719549191,2.5665603656617426,2.594299247993641,2.630950402302818,2.7522128364416782,2.9319052196086077,2.507629586523807,2.6678287979585584,2.308504127983137,2.616884833147985,2.519910704512728,2.1300712120631173,2.8266955886212424,2.4001245290390947,2.644046921248304,2.378044465589465,2.465754450446486,2.3018349041816557
