August_5,July,March_4,March,April_3,June_2,May_4,June,July_14,July_9,July_13,July_7,June_4,November_2,March_2,March_5,April,July_11,July_2,July_8,April_5,August_8,May_3,January_3,April_7,August_4,November_4,June_5,August_2,November_7,August_6,November_8,August_3,November_5,November_3,April_4,September,April_6,March_6,March_3,May_5,February_2,April_2,June_3,July_5,July_12,January_2,July_10,November_9,November,January,August,October,July_3,July_6,July_4,May_2,May,November_6,August_9,October_3,August_7,October_2,April_8,February
2.626064562445449,2.8679928391676834,2.68389673445524,2.0191300375364922,2.9354437985871136,2.9755771729958593,2.514763556750274,3.1451996366480306,3.296743530956264,2.882033792266432,3.185576103626944,2.7336770008885845,2.481946781248182,2.614570101613553,3.162804069856787,3.0779744605231754,2.277429082377236,2.596167352288897,2.6692530109071564,2.2826503253250214,2.582529116387054,2.7080925518370815,2.851212429034043,3.0041601542479777,2.722539154281719,2.8693572415640354,3.1962846314786186,2.5924645343617554,3.2929591183472007,2.562130558651102,3.1569469781572925,2.2351906984671364,2.8739715131222296,2.3622165989175556,2.949204044082202,2.8345380919068095,2.6703758464166407,2.8995980940155093,3.094113637563569,3.055508322089075,2.7913284386363872,3.039950667984013,2.786863733322954,3.0873505519849727,2.6780890637465724,2.1469309170693065,2.481121930229628,2.6096833307688856,2.163623995782778,2.8447457579699815,2.8142100755294206,2.653875795552362,2.805518142212997,2.9407240809010733,3.1249685654301884,3.085547263999731,2.238085300897885,2.3774343831587657,2.783031068931825,2.2992357276652178,2.3187872589006515,2.76283354165206,2.4561636118908194,2.724102944313793,2.6540356234301017
2.7742781421605747,2.7415052448193893,2.9097974824770656,1.9482710018682634,2.906051402619296,2.8767354324176178,2.6603124152801496,2.8319808955703083,3.0525863091227725,2.425809236682504,3.3351844265982056,2.779944185291103,2.5895822494753036,2.9962713022413654,3.198609730414457,3.0352937703370926,2.502951662720066,2.1850816371852817,2.4666518859806175,2.738341356465149,2.2850949163799226,2.6133432314150054,2.791151737604083,2.9776480484807,2.5679970947908575,2.8872416939741803,2.9004434149199634,2.499262330920363,3.10302630130203,2.8207714401729533,2.8490893672964286,2.1894360587208688,2.3407488853347176,2.8259746421450456,3.0472188339857595,2.7312795699468624,2.2371313425719093,2.984859619968639,3.245014830390133,2.7128440552813693,2.821008633832699,2.9291239703526863,2.6148305521916475,3.0538725997841123,2.486622255089941,2.035095640569333,2.4678331939489886,2.5338379966835505,2.283637139863288,2.6027783840293344,2.732826616004719,3.1102536700174706,2.6421564799680706,2.689949543230989,2.744011869698529,2.596342707429989,2.3787618286765064,2.3032512450426528,2.492468095272824,2.627639369027535,2.1548903951426754,2.8289921680095733,2.6498550830429406,2.359602072886544,2.5836856304362583
2.499430711292935,2.994352214739217,2.4840001034565096,2.0916015072179945,2.926099016159139,3.2056698258536116,2.475603440817558,2.9207967189779565,3.0145425003750166,3.172075518391112,3.174366394877498,2.6581257837342935,2.426723044411393,2.6745491633187988,2.6417407828213815,2.6099331729892326,2.3611699715811247,2.4786938378801646,2.3384987036367244,2.1407424579483996,2.345667113962838,2.4490655648685333,3.0065751417756608,2.905340165082473,2.7292349586037075,2.758238100441417,3.3525220699089155,2.6138253702494954,2.8430688853803363,2.8374563306444216,2.975635097808944,1.9968015501355094,2.426931254208793,2.2407295657772393,2.954491163229438,2.6014978376188296,2.564877110297498,2.8510631843041594,2.7656887281288265,2.4370741692392874,2.7676066790759353,2.749851345575654,2.7522538229737723,3.32878890192868,2.589836247277787,2.2694727694159824,2.138964381139234,2.889004539026642,2.3519755950411376,2.727999561522987,2.6139156765965588,2.576073403089889,2.816381642606709,3.0922945420248853,3.1091467740480305,3.4911753018911282,2.4844358536004503,2.748824033882813,2.7198203418230307,2.474675827813757,2.3390130322364797,2.510541135563041,2.4851919028381513,2.454535527015172,2.3611765994566527
2.622355217600832,2.4959623564820896,2.4873422283671376,2.2073633912969854,3.197463118933094,3.114917939467316,2.44256816558548,3.034078842035491,3.1968426735369393,2.48920422047519,3.1634455814691553,2.5476746074106336,2.354069441103476,2.890138415833585,2.8519126318215884,2.894167050419227,2.523286747955773,2.49626661280778,2.3054142001581064,2.1703653625449197,2.5420067326917977,2.5181278139970478,2.9866416239387004,3.0142474392609304,2.5973692503293693,2.9451139942780133,2.9233000221839434,2.750068677337327,3.0247742186239375,2.8472373507409294,2.964801737203249,2.522355375565333,2.5041028415162714,2.306203068021742,2.604225658072386,2.639095579670022,2.679179565883838,2.874295458564376,2.8751400731445655,2.570699951913298,3.2234977250184156,3.056716539761318,2.769797706883276,3.1226070175271516,2.690331773242722,2.1236868798811326,2.281906619146862,2.5881065233148064,2.478256714261973,2.1519469418808517,2.616361300747071,2.6628203492458025,2.801817238118355,2.7820666979518043,2.8445644421052654,2.766211124130716,2.4129186067429127,2.472182658964685,3.0438776757921215,2.267062404232565,2.2931850602341095,2.370075341656151,2.3897764124946317,2.313504871677717,2.380546277199557
2.6009067675515385,2.8705277289018434,2.9812341229587678,2.076201909793769,2.840210014982991,2.8324232564303826,2.7004558703491215,2.741874114391918,3.141107670874931,2.490351606624362,2.9862452992179764,3.0507822571145695,2.1954648517368303,2.6533282833920047,3.0018651766478843,2.830051396936412,2.17415984747487,2.538260893463532,2.337755237068183,2.3556050984057597,2.7221258717250256,2.626926071187436,2.711962104049171,2.9198691351113917,2.9283123803615383,2.777022930937462,3.1980649389560973,2.5625201181612876,3.2755420063461393,2.440064846477749,2.896331175252684,2.4790634858603817,2.682195086533867,2.2324539115075694,2.9394298447840304,2.743939145215534,2.7004269920503776,3.107344334872211,3.0453421921674444,2.841351312142046,2.5857146941355285,3.0811982142279315,2.548164337721087,2.815479025997111,2.6016623059629755,2.1468914598820015,2.1059513211523595,2.5213327063144373,2.2613491826425713,2.6389446697913486,2.7180437196339766,2.5311834086866405,2.6369953020633887,2.9200197378441737,2.869155399743815,2.8967071821928925,2.1607530460893782,2.4718093001961754,2.7590852320221475,2.703597424189424,2.1832804015205136,2.5110157686964953,2.2649409853281877,2.6108288196151612,2.673897933675262
2.5398781707012286,2.429005051670822,2.4223749171203,2.0776450650357856,2.9867878502945655,2.8931739886993144,2.4000724375059477,3.1072420792320137,3.2566307970836945,2.8553761172096053,3.086472477134222,2.641385811522838,2.1850233251566027,2.895258228056339,2.973441706301789,2.6360724942958047,2.314296465239468,2.428157183851592,2.4322841203993706,2.297583038528525,2.169826776883214,2.18498422025214,3.248907295263863,3.190735357303302,2.6088334325406755,2.637969986487221,2.7739138866529007,2.555781309848798,2.9800353527165697,2.633398066217395,2.964442841266966,1.8644605239454615,2.5803273228124013,2.7568001884377207,2.907586649140439,2.3568419902477826,2.3854191374752824,2.4183857696915037,3.0446528124625187,2.750799468084212,2.950198952520611,2.8870591725828336,2.6763049854323215,3.0604286369969467,2.57646233570334,2.0997540191736586,2.207532552550831,2.371496063432249,2.104849153195206,2.137657551795642,2.592777017635482,2.4282311541850423,2.9485165055516367,2.7368869363888426,2.7851219655568538,3.048078824159424,2.4886981839774482,2.6989695184758684,2.4616005595918553,2.331166734822217,2.2639667583461955,2.3979813704988793,2.685012020305456,2.4479235435983946,2.612255056085346
2.4541861042395277,2.6641492603515995,2.5331205569309625,2.4365262386343662,3.1400859585071346,2.775996273369541,2.6172772486858467,2.9850012379189113,3.442626626283992,2.820657173131209,3.1819712310871173,2.6158308044496326,2.401178004138985,2.718340016854372,2.819343699113474,2.6956602731675687,2.4960470898997604,2.704641165103977,2.482080829920834,2.2862956619970776,2.437427922715982,2.2363086376812595,2.6774546671679227,2.9480555354384657,2.6098641482621145,2.707707711404346,3.2295284959916226,2.4496896020613756,2.915869481784007,2.405521576764263,3.1072190209342607,2.3878334968701527,2.642289739839215,2.1999289406723013,2.66783904196256,2.621815671655851,2.239515260524758,2.8271585700848663,3.0485487459804346,2.996457869453678,2.9731667713499466,2.699022663775383,2.6281921356510027,2.901305950322978,2.7142191007710754,2.2162115521973726,2.3612991335559563,2.498979945799146,2.301054099432977,2.785180722837769,2.784309212194453,2.625549043008729,2.7765677962352746,3.17256580541994,2.9972546888683937,3.0773646163087123,2.325557219003922,2.480755610535672,2.657287600834431,2.4869435662454205,2.222293887050052,2.350668751593488,2.4013409946906332,2.45207014290392,2.5257482312749704
2.6035553602302843,2.543806135112438,2.3262737586282065,2.2441635930398958,3.0547114515976084,2.9465930825936235,2.4535830505651606,2.95857806136843,3.2839950831523788,2.6226456755796455,3.11880682985483,2.3118086383991088,2.0457288794036588,2.6899870509338055,3.073693624787284,2.862940426308848,2.1087628033223735,2.4524267983337467,2.30639105110138,2.4649853419945003,2.281268178451736,2.0734049442404063,3.0506328904578983,3.070969971659783,2.464493292764029,2.642296887854339,2.8838069821494345,2.6009138010806856,3.067748089914759,2.8175295641409375,2.8983978552932843,2.138553563667295,2.7710160793703085,2.5035769060222686,2.922953582203561,2.520823373111757,2.4301227475840363,2.8627511044004406,3.1496862611558876,2.6663128298410013,2.6008715121453148,3.0978194683487645,2.759175951932961,2.8611366807795697,2.6440984742651015,2.179914124117804,2.5195623234935804,2.390828810531056,2.4036446058154692,2.4234209581401913,2.6524879695674146,2.804539008902384,3.0025781823993283,2.7080082780978896,2.753240776119667,2.823496766590085,2.3213246857730394,2.1848471781793286,2.6785766058267337,2.604854413539918,2.2806781430095397,2.4128160634904674,2.3133680230772393,2.28804266584854,2.3918845601860577
2.7168651848871734,2.574818292737516,2.803581112822876,2.134491347474428,2.997020235972817,2.9264491631475513,2.658991557096448,3.0117225233861884,3.504776939507253,2.6635608365073478,3.3051429917148547,2.5185797811623742,1.9855041870388965,2.849966611590792,2.9729266452154786,2.817928774201185,2.1834053414252095,2.545364986142884,2.2572755555952866,2.3153162811565275,2.326753714777589,2.2992603054352854,2.6490236407546464,2.989830218184593,2.6584031968859136,2.8074216307991113,2.9120008121786216,2.5149035083679396,3.191692198825229,2.5671232757599305,2.7274766628478693,2.5358136247928904,2.3669828125861154,2.385153471112902,2.8630674862336987,2.739737038010779,2.6931656226600564,3.0234362690957646,3.040352963486649,3.0280277989346183,2.3911061908970677,3.1122966363509583,2.699911217886006,2.7914870158172045,2.383246436393082,2.174887609428505,2.2821858274055016,2.436434364595185,2.315636734157936,2.593341875433118,2.7413033535862774,2.6269189613286468,2.667705876381178,2.7031545190347845,2.835129543396192,2.828570006741268,2.3163817449258457,2.4135757446349473,2.810535629308778,2.5136973943907535,2.191902871057497,2.7064602955717385,2.3947404323658557,2.667949389720145,2.5155876199612948
2.8940930418265896,2.676459892521404,2.5922242514445397,1.8967037317588018,2.8822056945525842,2.82966205852047,2.395666443626684,2.784707138490378,3.5432890977650624,2.6856850711976903,3.4919065270021257,2.5792378077192093,2.220270146882683,2.784288291162488,3.0176630280356918,2.78440760661061,2.1209647368621396,2.419809812843328,2.4749720125555656,2.5555771487281858,2.714963843777594,2.4947409615297667,3.1984977335003753,2.7546120756703374,2.6791291207522074,2.7915709044838066,3.204999710382005,2.531265966650071,2.9186667991554747,2.6359995308291957,2.8040329332761966,2.3306087711575807,2.788701007550326,2.251245003821859,2.5130540473826573,2.8674976489178445,2.3358026700999615,3.107676442440599,3.1035186195400812,2.764188955950507,2.609478583534088,2.8311200554376965,2.7073801900374272,2.8383321826323002,2.7966738594586125,2.26957211721699,1.9876968490926405,2.6072479829679254,2.1582187235417187,2.3612802888138678,2.6941557921834716,2.5785058747123433,2.644719898138132,2.9042988243551378,3.036789050583986,2.927675054284066,2.158231561293562,2.2749607846402697,2.627365350263141,2.7938400379475814,2.0661806087089953,2.7292294436421223,2.1898126632447603,2.547445164988654,2.1946180613489723
