August_5,March_6,July_7,April_5,April_3,March_5,August_9,July_2,May_4,November_3,March,July_12,July,July_8,July_9,March_7,June_5,June_2,October,August_2,June,July_3,May_3,October_3,July_14,August_3,November_6,June_6,July_13,July_10,November_7,March_2,August_6,August_4,November_5,August_10,July_6,April_4,July_11,January_2,August,November,June_3,February,November_4,November_8,July_5,August_7,July_15,June_4,August_8,December,March_3,April,November_2,October_2,July_4,May_5,May,January,March_4,December_2,March_8,April_2,May_2
2.626064562445449,2.68389673445524,2.7336770008885845,2.722539154281719,2.582529116387054,3.2321240899112857,2.773506117944941,2.8679928391676834,2.514763556750274,2.614570101613553,2.0191300375364922,3.185576103626944,2.5919859219867734,2.2826503253250214,2.882033792266432,3.0779744605231754,2.481946781248182,3.1768943273614982,2.833987600338852,3.2929591183472007,3.1451996366480306,2.6692530109071564,2.851212429034043,2.5389450227439987,3.296743530956264,2.8739715131222296,2.3622165989175556,3.3249592023885026,3.0389307078262364,2.596167352288897,2.2351906984671364,3.162804069856787,3.174970507942272,2.8693572415640354,3.1962846314786186,2.2992357276652178,2.6780890637465724,2.8995980940155093,2.1469309170693065,3.0041601542479777,2.653875795552362,2.6749646479666627,3.0873505519849727,2.5058904689393096,2.7695617165180737,2.5997760880642966,3.085547263999731,2.7080925518370815,2.4265849045124357,2.89374112260258,2.9447845788327633,2.4170187755026094,3.055508322089075,2.786863733322954,2.8447457579699815,2.4561636118908194,2.9407240809010733,2.7913284386363872,2.238085300897885,2.481121930229628,2.358095047101271,2.6925852036595597,2.3529396108453393,2.6508164539632477,2.7552329184720543
2.7742781421605747,2.9097974824770656,2.779944185291103,2.5679970947908575,2.2850949163799226,3.2571402668838347,2.129185657839727,2.7415052448193893,2.6603124152801496,2.9962713022413654,1.9482710018682634,3.3351844265982056,2.241329139514498,2.738341356465149,2.425809236682504,3.0352937703370926,2.5895822494753036,3.2180620993289017,2.5590150569030903,3.10302630130203,2.8319808955703083,2.4666518859806175,2.791151737604083,2.2986538120083635,3.0525863091227725,2.3407488853347176,2.8259746421450456,2.977645693293247,2.9997725398375086,2.1850816371852817,2.1894360587208688,3.198609730414457,2.7216629398323886,2.8872416939741803,2.9004434149199634,2.627639369027535,2.486622255089941,2.984859619968639,2.035095640569333,2.9776480484807,3.1102536700174706,2.312531623620326,3.0538725997841123,2.9574582940910226,2.7861992833850366,2.265598595688141,2.596342707429989,2.6133432314150054,2.2126768289063046,2.5907888029883392,2.7541731305584745,2.821909946456611,2.7128440552813693,2.6148305521916475,2.6027783840293344,2.6498550830429406,2.689949543230989,2.821008633832699,2.3787618286765064,2.4678331939489886,2.419191827960681,2.7357947943634002,2.362099511407591,3.010469974458189,2.7882424418764953
2.499430711292935,2.4840001034565096,2.6581257837342935,2.7292349586037075,2.345667113962838,3.1669237830787726,2.4621297968116087,2.994352214739217,2.475603440817558,2.6745491633187988,2.0916015072179945,3.174366394877498,2.5115877864605225,2.1407424579483996,3.172075518391112,2.6099331729892326,2.426723044411393,2.604242753293965,2.8654968284331113,2.8430688853803363,2.9207967189779565,2.3384987036367244,3.0065751417756608,2.259452518679913,3.0145425003750166,2.426931254208793,2.2407295657772393,3.246092110404597,2.709008093342552,2.4786938378801646,1.9968015501355094,2.6417407828213815,2.799322103178065,2.758238100441417,3.3525220699089155,2.474675827813757,2.589836247277787,2.8510631843041594,2.2694727694159824,2.905340165082473,2.576073403089889,2.558045082224827,3.32878890192868,2.9724558653296436,2.8264426187588074,2.8011607352932177,3.4911753018911282,2.4490655648685333,2.265969551396171,2.5217688212043763,2.439624186476224,2.617578810118484,2.4370741692392874,2.7522538229737723,2.727999561522987,2.4851919028381513,3.0922945420248853,2.7676066790759353,2.4844358536004503,2.138964381139234,2.2799891526360954,2.201542553245565,2.104132841678275,2.6860961966212025,2.4465173147271697
2.622355217600832,2.4873422283671376,2.5476746074106336,2.5973692503293693,2.5420067326917977,3.15065933828139,2.6991503833622428,2.4959623564820896,2.44256816558548,2.890138415833585,2.2073633912969854,3.1634455814691553,2.3240224171830755,2.1703653625449197,2.48920422047519,2.894167050419227,2.354069441103476,3.1136179554610988,2.7697813431348575,3.0247742186239375,3.034078842035491,2.3054142001581064,2.9866416239387004,2.4842187928582753,3.1968426735369393,2.5041028415162714,2.306203068021742,3.1252503279204977,2.9322765469864214,2.49626661280778,2.522355375565333,2.8519126318215884,3.0308307098436997,2.9451139942780133,2.9233000221839434,2.267062404232565,2.690331773242722,2.874295458564376,2.1236868798811326,3.0142474392609304,2.6628203492458025,2.2539972515526356,3.1226070175271516,3.174408940091956,2.7786750854784925,2.4168135568260687,2.766211124130716,2.5181278139970478,2.364949344768368,2.845986277533975,2.683970330306049,2.7004324484995834,2.570699951913298,2.769797706883276,2.1519469418808517,2.3897764124946317,2.7820666979518043,3.2234977250184156,2.4129186067429127,2.281906619146862,2.429626481551398,2.6944781191174987,2.0967890236283004,2.71340752288597,2.5964431223269786
2.6009067675515385,2.9812341229587678,3.0507822571145695,2.9283123803615383,2.7221258717250256,3.329929104153017,2.734878153324645,2.8705277289018434,2.7004558703491215,2.6533282833920047,2.076201909793769,2.9862452992179764,2.2488166797606843,2.3556050984057597,2.490351606624362,2.830051396936412,2.1954648517368303,2.8044827762946882,2.714215451676127,3.2755420063461393,2.741874114391918,2.337755237068183,2.711962104049171,2.091323792743468,3.141107670874931,2.682195086533867,2.2324539115075694,3.0116929520265425,2.882033073698789,2.538260893463532,2.4790634858603817,3.0018651766478843,3.173170533195033,2.777022930937462,3.1980649389560973,2.703597424189424,2.6016623059629755,3.107344334872211,2.1468914598820015,2.9198691351113917,2.5311834086866405,2.4818836467715575,2.815479025997111,2.3697538929188218,2.3437462203552117,2.621078330445104,2.8967071821928925,2.626926071187436,2.0800216869858326,2.77699571477154,2.5753568544215724,2.5960220629092596,2.841351312142046,2.548164337721087,2.6389446697913486,2.2649409853281877,2.9200197378441737,2.5857146941355285,2.1607530460893782,2.1059513211523595,2.3045323824818666,2.3895849890850362,2.325401742120433,2.7932406934601306,2.7684575802478353
2.5398781707012286,2.4223749171203,2.641385811522838,2.6088334325406755,2.169826776883214,3.1077071101850806,2.2062454457473333,2.429005051670822,2.4000724375059477,2.895258228056339,2.0776450650357856,3.086472477134222,2.1635668957824503,2.297583038528525,2.8553761172096053,2.6360724942958047,2.1850233251566027,2.8240523227929906,2.7074235415973678,2.9800353527165697,3.1072420792320137,2.4322841203993706,3.248907295263863,2.3614180180115336,3.2566307970836945,2.5803273228124013,2.7568001884377207,3.11939881125931,2.881745522728711,2.428157183851592,1.8644605239454615,2.973441706301789,2.956473007770902,2.637969986487221,2.7739138866529007,2.331166734822217,2.57646233570334,2.4183857696915037,2.0997540191736586,3.190735357303302,2.4282311541850423,2.3742674681082203,3.0604286369969467,2.8161857285660035,2.8458769905230668,2.1170210183090505,3.048078824159424,2.18498422025214,2.163127926800317,2.4476811628828408,2.5472695054780417,2.848124860345846,2.750799468084212,2.6763049854323215,2.137657551795642,2.685012020305456,2.7368869363888426,2.950198952520611,2.4886981839774482,2.207532552550831,2.240475897821384,2.3227571649315593,2.0377811418041665,2.6147672848057977,2.5960009368532964
2.4541861042395277,2.5331205569309625,2.6158308044496326,2.6098641482621145,2.437427922715982,3.2649887738484793,2.4028508338726704,2.6641492603515995,2.6172772486858467,2.718340016854372,2.4365262386343662,3.1819712310871173,2.621276791838138,2.2862956619970776,2.820657173131209,2.6956602731675687,2.401178004138985,2.853571203361597,2.9286675894399647,2.915869481784007,2.9850012379189113,2.482080829920834,2.6774546671679227,2.189169562801415,3.442626626283992,2.642289739839215,2.1999289406723013,2.834318314278342,2.9998236474741673,2.704641165103977,2.3878334968701527,2.819343699113474,2.8475225873213224,2.707707711404346,3.2295284959916226,2.4869435662454205,2.7142191007710754,2.8271585700848663,2.2162115521973726,2.9480555354384657,2.625549043008729,2.629620202108949,2.901305950322978,2.799650129137036,2.46613416447988,2.2279081061230275,3.0773646163087123,2.2363086376812595,2.3856890916191773,2.574794909221052,2.481782327341305,2.4657827999129536,2.996457869453678,2.6281921356510027,2.785180722837769,2.4013409946906332,3.17256580541994,2.9731667713499466,2.325557219003922,2.3612991335559563,2.3597985465006226,2.8370746117063796,2.2844067254268388,2.5588869466178816,2.346633953319631
2.6035553602302843,2.3262737586282065,2.3118086383991088,2.464493292764029,2.281268178451736,3.1084245214851145,2.542986443117977,2.543806135112438,2.4535830505651606,2.6899870509338055,2.2441635930398958,3.11880682985483,2.6599875227060843,2.4649853419945003,2.6226456755796455,2.862940426308848,2.0457288794036588,2.7022742024132067,2.914123170089497,3.067748089914759,2.95857806136843,2.30639105110138,3.0506328904578983,2.7154122533925977,3.2839950831523788,2.7710160793703085,2.5035769060222686,3.0574530489235454,2.7862979548600277,2.4524267983337467,2.138553563667295,3.073693624787284,2.700247923888868,2.642296887854339,2.8838069821494345,2.604854413539918,2.6440984742651015,2.8627511044004406,2.179914124117804,3.070969971659783,2.804539008902384,2.4418904619781014,2.8611366807795697,2.6347942197119245,2.8163848528988695,2.36863893185316,2.823496766590085,2.0734049442404063,2.360795091464417,2.5213193166453896,2.922932683603083,2.5508788047849382,2.6663128298410013,2.759175951932961,2.4234209581401913,2.3133680230772393,2.7080082780978896,2.6008715121453148,2.3213246857730394,2.5195623234935804,2.2902479561293494,2.654454988128348,2.234317765932252,2.617592938839111,2.5359438174823943
2.7168651848871734,2.803581112822876,2.5185797811623742,2.6584031968859136,2.326753714777589,3.340336110741717,2.362402096235039,2.574818292737516,2.658991557096448,2.849966611590792,2.134491347474428,3.3051429917148547,2.548019243862547,2.3153162811565275,2.6635608365073478,2.817928774201185,1.9855041870388965,2.971207336467635,2.7978391646643237,3.191692198825229,3.0117225233861884,2.2572755555952866,2.6490236407546464,2.2700595589965444,3.504776939507253,2.3669828125861154,2.385153471112902,2.921343329637907,2.890550697907666,2.545364986142884,2.5358136247928904,2.9729266452154786,2.761925338453969,2.8074216307991113,2.9120008121786216,2.5136973943907535,2.383246436393082,3.0234362690957646,2.174887609428505,2.989830218184593,2.6269189613286468,2.50519310398581,2.7914870158172045,2.9677212514144067,2.645719290650883,2.3911280604846645,2.828570006741268,2.2992603054352854,2.3672970082053846,2.526983833507,2.468725069385993,2.796436144328468,3.0280277989346183,2.699911217886006,2.593341875433118,2.3947404323658557,2.7031545190347845,2.3911061908970677,2.3163817449258457,2.2821858274055016,2.269451097778831,3.233237839193386,2.2624361801335393,2.822135074592771,2.5486973441047263
2.8940930418265896,2.5922242514445397,2.5792378077192093,2.6791291207522074,2.714963843777594,3.2053915226085556,2.532425733921276,2.676459892521404,2.395666443626684,2.784288291162488,1.8967037317588018,3.4919065270021257,2.2952375175924478,2.5555771487281858,2.6856850711976903,2.78440760661061,2.220270146882683,2.8225009265140586,2.626764796547735,2.9186667991554747,2.784707138490378,2.4749720125555656,3.1984977335003753,1.9864234632895836,3.5432890977650624,2.788701007550326,2.251245003821859,3.353555518841813,2.9133874103001385,2.419809812843328,2.3306087711575807,3.0176630280356918,3.01404409233204,2.7915709044838066,3.204999710382005,2.7938400379475814,2.7966738594586125,3.107676442440599,2.26957211721699,2.7546120756703374,2.5785058747123433,2.692122905567477,2.8383321826323002,2.6172185495159304,2.847293997982579,2.6431642039834706,2.927675054284066,2.4947409615297667,2.382628922881086,2.5343312487809633,2.488589413419272,2.278160274812429,2.764188955950507,2.7073801900374272,2.3612802888138678,2.1898126632447603,2.9042988243551378,2.609478583534088,2.158231561293562,1.9876968490926405,2.106145658911981,2.6430831925951264,2.214170060568709,2.7904260260137175,2.669328619033028
2.471970313019871,2.833102679772793,2.3947421956984036,2.7564061705438996,2.5736439202011216,3.228862702059588,2.3318946262025992,2.267742188666175,2.3464053209727753,2.723069553930967,2.1988338117245165,2.925911971325971,2.3631749798645076,2.3265165587642933,2.365230909049024,2.73548451259791,2.4103939701951447,2.9855926512526634,2.660312127735447,2.976172266899059,2.973048971128226,2.2018662208515565,3.0643898037422805,2.294459609576746,3.1149786281095415,2.6745684566584744,2.4344423891553415,3.09798877675182,3.088832202043213,2.4040476899731686,2.240363144846291,2.904695742256664,2.6026500171282345,2.7022859716807193,2.9446990840535894,2.3018349041816557,2.505539719549191,2.7091913422740572,2.0941499997007362,3.1175119147686194,2.6389239221067187,2.276431303303441,3.0533946665689786,2.3421592271360034,2.81006325948643,2.6684443409064165,2.616884833147985,2.2018601546751757,2.3083548467109165,2.588306913460286,2.758874898888663,2.6077554864365355,2.741913611685927,2.909312255800722,2.7522128364416782,2.4001245290390947,2.8266955886212424,2.859572543277896,2.378044465589465,2.308504127983137,2.4898467193050995,2.8176014624594194,2.5566937206097133,2.580820999970555,2.5007527150449707
2.816320585874919,3.1071880263402507,2.8837885862572388,2.5277357026061433,2.2855951974656277,3.1332064935204147,2.517550044525827,2.6979733594409048,2.5457564807680977,2.911060179794942,1.9487664243727736,2.910315851226348,2.2020254451644545,2.182481202836472,2.744858655627039,2.624363249616267,2.21641864204564,2.8511023972669913,2.7245230794854662,3.119086690252856,2.867968447210364,2.1813304959773485,2.5569233545143057,2.4120157509293825,3.2245513372451624,2.769715320564835,2.5637666417543916,2.8794852872826042,2.7660515806676953,2.5789509269480155,2.738023267748154,2.8998358892778637,2.771828295496451,2.739453585655999,3.0783738044345563,2.486713265625999,2.4064890758808657,2.7889484362759647,1.9230816302281737,2.787639809294072,2.6184344076195063,2.5541353802005884,2.9479444885279293,2.6968453713653915,2.8462290451465098,2.5115834210413968,2.5367308780704847,2.5164363925131474,2.234908173202149,2.679615603616138,2.7236545872829954,2.4245002576299934,2.82355804502231,2.459379810409051,2.6450667013024556,2.252617698794228,2.581877794173352,2.626949737599033,2.2310758593721776,2.4375025185454664,2.0998730516444217,2.728446520444951,2.30639868672726,2.5159912351595373,2.264502137639277
2.6383250420405924,2.8354431198652175,2.5085032433212704,2.771833148474735,2.5884419978761124,3.133636107544871,2.388912629782539,2.626993869642468,2.547944763422933,2.7055176872132267,1.7437295093122862,3.184762311739257,2.604954082911426,2.209542998985711,2.9962335843683268,2.8539422879371474,2.3879296533525487,2.944776170974517,2.606800611741213,3.001394985966076,3.1592449422387565,2.331927108128545,2.961247397956714,2.446763794678584,3.2496081088345643,2.907524906423318,2.727117769279827,3.2969243222459226,2.8092865721190856,2.552059186190195,2.2007181080426594,3.036449968494559,2.755986527372548,2.7340777555105706,3.0978752009438564,2.3597105153820572,2.5632370206020414,2.7773952367518686,2.115630528763498,2.9374175993685263,2.762108481878297,2.4359264179848594,2.765572572592938,2.622144555772462,2.7938783354764407,2.477977522588981,2.7120813357911553,2.5490719375319437,2.237844007110915,2.6921142045276225,2.616662367905506,2.620759222062855,2.617249812057459,2.670831860566542,2.3894167483798783,2.12308126280068,2.9980539455773676,3.1610061102919853,2.2170891814564975,2.0462748592529527,2.251903468848077,2.6753231875970718,2.037466258835672,2.5973771961157976,2.594035556245478
2.8974884578684548,2.9041221451408017,2.5693700858784876,2.5291332624724374,2.6188571054208993,3.069224922656704,2.429183890737606,2.7012486703706573,2.39445876156663,2.633801615505808,1.7912080847454805,3.1341376630922273,2.4504079016931324,2.316771843178878,2.6231283760203583,2.985245186709347,2.2504305371867224,2.6300820774374256,2.628846816384605,3.2575919189597204,3.135100156282282,2.4928707411743956,3.087442759196474,2.328228222254034,3.227907865384146,2.640810876128794,2.1472719122509982,3.136694619806674,2.7973652526949344,2.3261448575828645,2.1178872603337204,3.0005933544317647,2.883927273821429,2.6280317895634715,3.0537491854148544,2.6778786658281613,2.5774212484886005,2.8746815845336844,2.1034988340272407,3.262402215121953,2.8577715033198903,2.5558294429681414,3.2986462654589355,2.7084641171939676,2.892277232959283,2.276542014032835,3.0280715725274145,2.0588110209285073,2.4438150771175837,2.534934561707421,2.683945475889913,2.412311123341501,2.678153550322911,2.5900814592779207,2.6584176103458614,2.102619576086762,2.7029832997212817,3.0278488609814502,2.445870747507207,2.6347595526987235,2.26429365744536,2.772244214518111,2.2720574239936844,2.9365892777237455,2.6729809662470947
