July_6,April_5,November_7,November,August_5,May_2,August_2,February_2,June_8,July,April_2,March_3,June_2,September_2,March_2,October,November_6,February_4,June_3,April_4,April,April_3,June_7,March_5,March,April_6,June_10,August_4,April_7,October_2,July_3,November_3,September_4,September_5,July_4,May,September_6,April_9,June_4,January,December_2,February_5,June_11,August_3,February_3,September_3,November_2,May_3,July_2,June,August,November_5,April_8,December_3,May_4,July_5,September,November_4,February,June_5,June_6,December,June_9,January_2,March_4
-0.7095601205045501,-0.13017483248660128,-0.009333580140304974,0.21156027409822672,0.2654362530836908,0.1700268586530622,-0.23149051234679685,-0.22912300304078023,-0.28784970283689126,0.40766488084890895,-0.04781883319795371,0.25356723562581923,0.4584460167410105,-0.11815740390312572,0.776286486753746,-0.18002239944902,-0.05858451677407154,-0.2556011542767796,0.3430726006588233,0.12218003124475443,0.355504806791115,0.3183129732921213,0.40358036291919475,0.22965637747038814,-0.24683312004009222,-0.47094443438498923,-0.5495220135512888,-0.5050340991314668,-0.4358119464242729,0.18157954500932186,0.12942731124856846,0.15920907756842623,-0.005792297773485569,-0.6127734835230255,0.04314189339201516,0.19613163399937733,0.006602395234529997,0.13776079639042382,-0.6044289277396437,-0.6085692802205854,0.6166931380498619,0.48362267245938717,-0.01237801409595747,-0.33263314978120834,-0.12774997278477823,-0.1950424419502515,-0.2694692871220181,-0.43488272892102336,-0.33587534217203424,0.0571066534484726,0.2350844575606918,0.5380511273875306,0.03898290471812113,-0.8392225448963796,0.48579266885210876,0.07091030292897518,0.34963526737549205,-0.41480544871936753,0.11206507997064845,0.16544808116551432,-0.04824954307332044,-0.48917654152575224,0.3954780804461701,0.053707162095387756,-0.10139528018736045
-0.3985475172987906,0.29741427051140207,0.195102661473401,0.26886507875163046,0.3826664636126656,-0.40071162868127363,-0.11504754535824087,0.15240122310096846,-0.06324537679885875,0.3953981627420242,0.22507629989897573,0.08895127241645948,0.12184609549513349,0.024682006049374115,0.4982090596421402,-0.31622426351454713,-0.13103895857099235,-0.1895556517944064,0.23598606849845696,-0.19682032407324362,0.5897689502645791,0.47992625721100485,0.5087517937878717,-0.0173002771434463,-0.36180525875060154,-0.43796908080706426,-0.30943681097479897,-0.7462465409992655,0.137592718671543,0.339428092855087,0.33131855411317984,-0.009218121949963506,0.16505305480200505,-0.6679400852909365,-0.6260609564199002,-0.4124578393057486,0.12365909068705001,0.19665674544209114,-0.04243140607661423,-0.6948950216497566,0.39328592577010413,0.2329133887487841,-0.12102447785736496,-0.07871604333759191,-0.21514758163293232,-0.16711330038753078,-0.048625958502860306,-0.9260928360487553,-0.683189257556509,-0.15646985637746255,0.03054327164133241,0.7174663391860284,0.2122063149714954,-0.49896553304815006,0.5264032186083469,0.26742014141431825,0.3518792066704051,-0.28989904104033637,-0.22881157199392071,0.19641053912651124,0.025804141990465407,-0.6468540944437613,0.24458645685903224,0.03107934674794159,-0.057527537355946054
-0.44300808319009033,0.22819393704691782,0.39568414719355127,0.7470247956152721,0.20586009689065266,-0.2240182297113209,-0.1162960948481128,0.03516151663825653,-0.40052154354747105,0.7725143254896918,0.1806302763484101,0.3402137698427888,0.24973868253529075,0.06870872708230805,0.6716158679601352,0.16947536832766807,-0.17621559607882953,-0.08268940802135502,0.15916961130334742,-0.091533416684434,0.7157775465691354,0.4024210314354803,0.29316927467520215,-0.13072832241344215,0.023022237133586212,-0.33460865447548616,-0.5476680216086979,-1.180156834616659,0.09396164983885653,-0.19677277766369627,0.45357808392343335,-0.5756027347781313,-0.24172000432555624,-0.624139033990881,-0.606692779506713,0.07940955726671439,0.29338686607826187,-0.07763843420971651,-0.482297077265711,-0.40153155638091753,0.2850875573022359,0.18647718297192895,0.058611926995898046,-0.4131847346577063,0.2321359945276001,-0.08778486523519581,-0.3523500155996111,-0.6217528267291649,-0.4641896783765599,-0.357144198296656,-0.06256453341059512,0.3328992197697369,0.1554972812155332,-0.7372334758849933,0.28711014881007757,0.08662005581803375,-0.04249670626359818,-0.33684087010685787,-0.31365426222293896,-0.10678408637278361,-0.1406941548658377,-0.35021207327052867,0.12070441071251733,0.2611135217928625,-0.24177771383770558
-0.49818420335503555,0.2631820016069857,0.21683139649541966,0.5387374548526982,-0.034867293745666536,-0.048798656699553064,0.1272781761853068,0.30507124528422697,-0.3231736154733619,0.6499701108513006,0.17464378621052978,0.5076954265240017,0.5408372367691135,-0.038266207843870616,0.8021572509862869,0.1303833888560717,-0.006888344133623166,-0.3288816466371847,0.18181060853865633,0.5369852327600443,0.47575422806370177,0.49924836110279047,0.6557661970227636,0.3136266780012643,-0.44619504062169313,-0.5044122454397976,-0.7050869519149401,-0.7060143960028922,-0.23923333574874095,-0.11364917890934337,0.5345475364125212,-0.3532590671316639,-0.19427600368737494,-0.7651533275150788,-0.34601816497838694,0.035078940517923415,-0.03471156058815527,-0.030621794856373813,-0.5284548449350843,-0.6568956058486357,0.3711964641798095,-0.050921552658234434,-0.214289255766895,-0.22134152618872435,-0.3800940156827571,-0.10702394963479309,-0.29473332141590014,-0.15299209371394001,-0.5206266813575234,-0.20585662312683795,0.4360627450961305,0.2866967208343034,0.3853816028677721,-0.4140362489037219,0.050128289892126685,0.31463569246216755,0.04602268497944326,-0.42105436410654973,-0.6128637427684648,0.18337505131571938,-0.34402101601717083,-0.061018148230764624,0.09326721138328742,0.11780417370889039,-0.1673921443735067
-0.803335489471876,0.018221049827187197,-0.2679712383955757,0.14276331605854145,0.9170050808666342,-0.42030027172276896,-0.07979652072525197,-0.2925861860641617,0.5012072516629724,0.300725543794352,-0.027740989887344067,0.6248210831477649,0.04106954592355847,-0.21297707370134228,0.6022009911886321,-0.12512255201663738,0.21569818611424912,-0.2899101810141248,0.19793993788544806,-0.020413173302123513,0.4159625316264659,0.021544921701659697,0.1476174341085806,0.21682236670502567,-0.5709362493599688,-0.6525054956958091,-0.349672679348705,-0.2830312641599879,-0.42391068022923106,0.13751007010464483,0.31778983366134717,0.02990110748233736,-0.1103580850524144,-0.8734032732712711,0.07695033206530222,0.005276990892108854,-0.028668333775632764,0.14144968339491473,0.02332329512200678,-0.5984603348773014,0.42854380355174615,0.14414428619460873,-0.043671452505595884,-0.1926945647450609,-0.37728411218465235,0.1081251526871583,-0.36685580778651056,-0.4895666678967156,-0.280187255108702,0.49548970544445636,-0.03470838414095039,0.32906456353414537,0.25974839503628944,-0.8132112790772881,0.3136558211022861,0.23552172522649645,0.11931228914490608,-0.28793161183043764,-0.14031351249481844,0.01544531599502158,0.06617232082942881,0.21294630950943427,0.2514970295208008,0.7069484677209187,-0.4046829675703105
-0.6521776102770318,0.24443773506438096,0.4930684798457789,0.7853145872424101,0.5188490676628695,-0.24538893455781474,-0.005843980363398574,-0.002242263443324021,-0.15021590293256362,0.5456169453465032,0.1960532354719255,0.1858124781645266,0.6449588426377422,0.47348325301665484,0.39039661210203824,0.1770003137914053,-0.428060307543813,-0.026077535890992813,0.15201175972866698,0.7417047172880855,0.8332676634691161,0.43549199969033114,0.1815863017226596,-0.1246566209170069,-0.3752422653504321,-0.043352511293928545,-0.3036938721981023,-0.46367068055418803,0.17676694127181558,-0.2621214094372937,0.6926905505835553,-0.4692858714762894,-0.2592116776863914,-0.43377379550959383,0.06632202174857506,-0.02432565139200924,0.014613506028534035,-0.3812253159667607,-0.5037569773522569,-0.45993917454564676,0.3416641471657695,0.21189038731353976,0.0706214054277348,-0.2925806724615174,-0.04603637135481323,0.23833395597318335,-0.2796879038313038,-0.5402555573287562,-0.37907156861867475,-0.02283703175079327,-0.18265650519822968,0.5429628448968612,0.3666184000453288,-0.4683645067165674,-0.006385330335028666,0.14781674307411857,0.12428660866520576,-0.2893330544869194,-0.24545538387814353,-0.032808598891079316,0.03887944044939697,-0.283497586048613,0.1753690569719193,0.0706373995495541,0.1182469007365042
-0.8022994575313905,-0.05775913493116217,0.254793814221804,0.6507814166043482,0.5268313559634652,0.04778125760147585,0.023951638784754516,0.039954935787143445,0.01089330799760703,0.6438904357620687,-0.008587361997388413,0.44974795584212496,0.5005234163423259,0.10504253110659328,0.27776842381657973,0.102865862449253,0.10925982351519564,-0.12102727958848257,-0.08216763468213553,0.6892024602976877,0.10009746529326163,0.6665927230770627,0.5204457331594111,0.3280501043863458,-0.38877898673800715,-0.2230603895966018,-0.7642150838124243,-0.7695241780781779,-0.262397152228837,0.25038687107282614,0.2347933119682192,-0.1631828056174912,0.17099162907286253,-0.1657006584309114,-0.002727440556087965,0.25450787751521153,0.4015008480499392,-0.23931108149890506,-0.3539268467916026,-0.34276063255397043,0.4322179914683545,0.28832465511679173,-0.213584414049794,-0.4403962665979043,0.09694300570822624,-0.01944337294481646,-0.4812829434771319,-0.17240287852864838,-0.3654689380762497,0.28221644083494285,0.10850397205129911,0.21720534817108783,0.2934757912974527,-0.2067642428594049,0.34280196595672635,-0.020122262164683477,0.2154366907124814,-0.6764716724763241,0.0059330532087774335,0.26784519948195523,-0.12821022114156136,0.17859867876901242,0.14599197951561643,0.18700792480995626,-0.15368020266912705
-0.25144649194375884,0.24154595386353342,0.1757098265208282,0.15267237826295968,0.607277326198164,-0.1804528634517895,-0.07024849556975915,-0.08422718583394022,-0.2031477402247836,0.3535712018317234,0.19203136734780046,0.2732879837889832,0.4829668554810903,-0.19309005251233474,0.7899383368692553,0.11925931478789605,0.4199956847819955,-0.38356151390167226,0.2921869485946103,0.488554210599781,0.793519116102861,0.4899394340857984,0.16561163133531753,0.18679348806091162,-0.2225526502333961,-0.2769414064605563,-0.3516829512345401,-0.2302767839838722,-0.2261497124045863,-0.19864751418361404,0.3428706444853957,0.024133602756011355,-0.29176776588554004,-0.7750547901159514,0.13951010301520142,0.18922071451580974,0.0662257306320978,-0.2978914671636076,-0.5335303973378137,-0.3352605339670338,0.4105406500501204,0.04614996153914007,-0.14947754987812284,-0.12370237138188371,-0.08119997088053288,0.1810076297982975,-0.2913943299181358,-0.30108442919641454,-0.13019868906229978,0.1398450784201268,0.016463766662736454,0.8882948549798635,0.35702227081527427,-0.591481127759591,0.1537549397707989,0.039155871297590815,0.029798038475696394,-0.5170421336269801,0.20032140142548838,0.12439115010028366,-0.07101166268202015,-0.2261162214057051,0.152088601471292,-0.013915809686222663,-0.31725952685530373
-0.6206998651227458,0.06097688369764079,-0.18661512626115254,0.20778927316804283,0.251134567581597,-0.5448186286534147,-0.06698485877622928,-0.3351713246416384,0.2181620328860579,0.2591772128671679,-0.21892921662136042,0.643422727819062,0.311721159311522,-0.045726350348533534,0.48307185032009703,-0.1871604786892339,0.18672589141018006,-0.48933537852928316,-0.13714593681743947,-0.016956743014673308,0.2685164755630795,0.1175592464621398,0.35930236024898854,0.17592326082988385,-0.3274617753835706,-0.3055728444956373,-0.4466504063801606,-0.4337124211567197,-0.33307906964827216,0.267773561923369,0.15593501963148784,-0.18859267999967805,-0.28220238031637584,-0.6322553097010032,0.569867070063827,0.025631418054087952,0.16907275904220512,0.18080278495062185,-0.2718435501295249,-0.268813007188327,0.6742329883848057,0.45579405510997506,-0.15520526391521705,-0.08930853976808865,-0.015806167741133317,-0.045018371881431096,-0.07841439478188575,-0.30809598156575146,-0.327224064169398,0.1937873052774161,0.41977816326583495,0.4724048172435567,0.3016497276323722,-0.51718497556351,0.12382841527173583,0.2981275187128558,0.19173718024954792,-0.5847797836343923,0.5166853484997038,0.14513391062327258,0.08369325556958619,0.11923142633786168,0.31930345699250373,0.133022935024079,-0.6417116205077137
-0.4711637281631615,-0.15873832790775266,0.0694664079473343,0.21551623383039498,0.36906691483034904,-0.11758857122288145,-0.09166188209327418,-0.11329317006186206,0.46333786983378517,0.3609424348401859,-0.05403079379971707,0.23605664016029176,0.3022024336985954,-0.04979776351964965,0.5538320985725842,-0.30483269183691986,0.24867917314110422,-0.3169176628875924,0.3262145327445108,-0.15585643452647768,0.5519951953899417,0.2951770144470181,0.03666193791027742,0.05594383147810517,-0.34766868941757245,-0.5134515340117555,-0.04644822008610612,-0.023256869724773192,-0.32341042631033706,-0.11301477875527528,0.279877758659831,0.2366709082292073,0.02379561017389803,-0.27854938957710845,0.38336773531440793,-0.04388817490978435,0.29061230329630267,0.22317762518253625,-0.4466006820784585,-0.347327559016231,0.6370024949156714,0.3833561493446541,-0.12639280205159037,0.08849683493918173,0.01128633380037241,-0.018120874914769967,0.002138709133726935,-0.6441049623192864,-0.05337518396967006,0.39211471301218964,0.3198763743561167,0.7042987195317473,0.23965053828133995,-0.9602507596605667,0.2658117026572744,0.3507652062780532,0.4884821974959161,-0.0030970281510906555,-0.2753024519901805,0.12328411550855037,-0.1267849187904987,-0.6653576251536887,0.1671106648382243,0.3550574366516059,-0.3158761606965536
