March_3,March,November_2,January_3,August_4,November_4,May_6,September_4,September_3,January_6,February,April_10,October_2,January_4,May_2,May_3,April_5,March_2,May_5,June_2,January_2,October_3,May_4,June,April_8,November,April_7,August_3,June_3,November_7,April_3,November_3,April_4,January,April_6,June_4,February_3,August,October,November_6,May_7,April_9,December_2,May,February_2,February_4,September_2,September_5,July_3,July,September_6,April,August_2,December,January_5,April_12,April_11,September,July_2,October_4,August_5,November_5,March_4,July_4,April_2
-0.3345203678106729,-0.3552740993337508,-0.22125312427484348,-0.4053561239952748,0.15032617263592915,0.1980772240682806,-0.2705319903293515,0.5465248647230656,0.24900280382207438,-0.40309619765211996,-0.7206199762062082,-0.08628841530048427,1.0295046374034627,1.6822152864521347,-0.6618890112794402,-0.16099363365495084,0.03716419737700878,-0.1348171821692696,-0.055734101099196,-0.01451484761951928,-0.7926794762907128,-0.4368616421592055,0.7108917881457965,0.9064461693075732,0.13996853945717813,-0.6702705652323766,-0.08386713572242792,-0.42999050362665553,-0.16335278964543617,0.8165197461889245,0.033612243237793056,-0.20809738209746548,-0.03545591964994236,0.27707165021773844,0.09959367474313029,0.22219813942169844,-0.1078680222963492,0.4962095615713926,-0.04207105536448339,0.6848068308291958,-0.0630815570973427,0.2949489596653757,-0.0013514313745991713,0.260107847709321,-0.06782684264757924,-0.9709723733693333,-0.14309826961516633,-0.5523960159439186,0.172674048430845,-0.5923562725426821,0.17128033238435864,-0.1455756769452981,-0.5452437654010962,0.4487431516910398,-0.05176103556321091,-0.1411188082232035,-1.1732829213188534,0.03907914672425718,-0.21494816479167672,1.013689377949965,-0.21651997484799623,-0.39444674933084783,0.13083666325079413,0.8915041741680699,0.13784629285594377
0.2042336561528061,-0.1530016165734019,0.3094133770904621,-0.4389989398238405,0.11476612271768101,-0.012158980179011014,-0.370606334847175,0.39562684985669755,0.17493343866001507,-0.0991956040198454,-0.9332389357240027,0.3064226859324986,0.5827229034198856,1.5613484573121863,-0.37915221641488905,-0.3602150722192462,0.27069526337086647,0.0002074162919580569,-0.6004714950636381,0.11537427741146133,-0.9458057023147692,-0.072319212086035,0.8041815205543549,0.36397520371960257,-0.03137272569854484,-1.0697817273559072,0.5377301437479368,-0.6102447579980589,-0.3169888421563024,0.46474373564650134,-0.09700975487552124,-0.3265705874869193,0.057492639408949636,0.9175727371503747,-0.18008525376660006,0.33395089280768675,0.2527589737697421,0.4882988315682568,-0.07795060566911119,1.3245599734969757,0.41149036249764137,0.12088549857017843,-0.33026347519112087,0.12872467783890967,-0.008288585126763219,-0.7882078408360245,-0.09568065308646176,-0.4705270358530722,-0.21049278670211405,-0.8333985622073672,0.64976629801211,0.008201538372322285,-0.25533780244360516,0.44403835126114444,0.03957554071658979,0.9049403529311539,-0.604004858760922,-0.019595526056647647,0.18417012429938012,0.8648909068060268,0.1473753874502674,-0.23874140809845867,0.18150515293657327,0.7788116889404919,0.14114778332971084
-0.010904333554180398,-0.4341069450450707,0.42310174430769115,0.12722038872425673,0.3254117247040401,-0.35443464183512485,-0.09395194028337772,0.4390673633732879,0.46404613160039343,-0.3181340979658831,-0.23583307676686846,0.7155618016877973,-0.33211035807047073,1.0970333691399448,-0.2895432904341504,-0.6733107904076787,0.05654294366587641,0.10981111240770718,-0.5380582750288195,0.25473100173315333,-0.22002245672889148,-0.08518180619471724,0.8817390519136201,0.912167394927432,0.22121833356193535,-1.1168786007700677,0.7387143466842756,-0.700055543485194,0.015226010296023294,0.4159661312570839,0.35625336314232586,-1.1249086484700637,-0.15947386873775354,0.0969199270283835,0.06946777835849847,0.32859804289355626,-0.17605208905912148,0.90308878947478,0.12592759528742645,0.20155371025438887,0.18987589941420113,0.5186944109690148,0.2911382825824786,-0.02948269566855298,0.025043395371716463,-0.09003438704032964,0.0060345906470259045,-0.377254969768803,-0.5134689852939331,-0.3623018954403369,1.1044922168409228,0.31230449573499086,-1.072631904453119,0.5667260449707463,-0.23214372278550552,0.33771623555681934,-0.6856802197643074,0.36038838282014496,-0.33304117807909933,0.8485550695245054,-0.35055150724459605,-0.5427988982320667,-0.3259899297434031,0.7761053965818383,0.22906923176860805
0.013960689215646777,-0.08418492546874283,0.09933632372951061,0.41242816605136734,0.408880129897421,-0.08496064818436744,-0.0898260238369079,-0.01445591039436557,0.35680195362556144,-0.11840544433041528,-1.6625915194671017,-0.2848107004917838,0.5183332770399423,1.8081028843001523,-0.4845992406216236,-0.24136663423581414,0.003936600046023746,0.38153762428327587,0.08155384220023784,0.19619938867563583,-0.34051477413073616,-0.4582371145765115,0.8407718967427911,0.4586962076775908,0.1633715414565209,-1.4458669838922247,-0.1618135047120255,-0.34716494488135596,0.2581801538964653,0.21296842597472787,-0.18195248420048002,-0.4625934139891779,-0.15945776056326427,0.5782038452989883,-0.012337055111503903,0.28904835201258394,0.027447618140604618,0.43238458623325127,-0.26896344266149874,0.06646755429142973,-0.29222194507748944,0.4587045878726935,-0.44420761509748374,0.0744898607321074,0.07460330386151436,-0.15322023524075323,0.18790976667334136,-0.506221165399247,-0.3073257529550943,-0.5707219776826433,1.0278713780708075,0.38108283177726265,-0.40569649491923326,0.1762612434498661,-0.26263840264026284,0.13762588958707456,-0.8208506762390315,0.20976706152398325,0.14383631420505283,0.4671420258876867,-0.32762335014136573,-0.020369035463774353,-0.08631957880174218,0.8563206880099046,0.09254987567671029
-0.09450556129633847,-0.15333107747347505,0.41562014130571284,-0.32372573534478605,0.5252736508117475,-0.25209158410291566,-0.30674531808653926,0.1676928436194648,-0.16202539554963488,-0.2786444506884813,-1.2629743547625785,-0.028312217527028137,1.1705689769715797,1.4093973618017934,-0.4937753394112144,-0.36488215660938994,0.04304510747502539,0.34600144463966603,-0.29035245728372316,-0.15957459755555667,-0.48298896727884083,-0.3941994001728582,0.9098826798274878,0.30108061975539924,0.08563880076537503,-0.8027696375040875,0.01869742235086434,-0.29176459450489345,0.10010903716213104,0.8061391197533418,-0.02112460597583498,-0.5043894776983794,0.05511405668179671,0.3314650862420568,-0.19928111825431244,-0.15314789539089527,0.654833327033572,0.4860162199992484,0.027728005245836046,-0.03283079263415871,0.28964052976242444,0.14606635674486723,-0.48563633749685364,0.23876659880242743,-0.14738518927719496,-0.1391134019551531,0.05224876541010576,-0.4175267877999376,0.2112276245103527,-0.7628642783827568,0.35981805126633704,0.1081568645363729,0.08614694198093859,-0.1344289555119048,-0.6824484408487382,-0.17585549854056848,-0.8718661005745675,0.04776047943294933,0.031042474409063582,0.609460759765998,-0.12888147239547262,-0.27805295414672304,-0.10493832086317793,0.5513416853530796,0.5138475535660298
0.0750482800170448,-0.23355470675845563,0.2292747567974489,-0.5581726962005873,-0.238353115770658,-0.3507023642773425,-0.3433181326937622,0.43907274634740695,-0.36074133122589486,-0.1879558861561806,-0.1282517850452436,0.17200918940774845,0.2057119220516399,1.7945120930939424,-0.2635290528390933,-0.18895648783485797,-0.07771735391173418,0.23394214825468793,-0.1800174104060181,0.2774085675351668,-0.47736092859601104,-0.09661292679426552,1.0661012798565097,0.6254685341645512,-0.39627784981072683,-1.5714871660124372,0.856959493430153,-0.2500561713505663,0.3728890351540761,0.21831374112518104,0.2718657113631036,-0.6893409889892077,-0.9189583009513136,0.8141850462595983,0.23725669631730098,0.2886365828470239,0.3578448121209453,0.20567234969365816,-0.0012941818775436577,0.7462650452287604,0.4885752532382032,0.22375573977552815,-0.16500357224513587,0.41643267157814434,0.3156035258029221,-0.2945342341005812,-0.35196129927793324,-0.43965864758318324,0.050176363093788874,-0.2353437379935468,0.557514110959277,-0.3138001656726854,-0.24643613710834278,0.36563513102642425,-0.5053431289662365,0.3390162491243203,-0.42264927351895776,0.2859423629430365,-0.42097899581530107,0.34251045036164435,0.04925358511900388,-0.31861848020301986,-0.3628923548434663,1.004067168151853,0.07616490366805478
0.1345614088857291,-0.03976912405389578,0.16405695471822945,-0.056199552354486905,0.7934081350128426,-0.0837026151359826,-0.4189313837290904,0.518765907413245,-0.043147549642562164,-0.5657195178430316,-1.2533193624780479,-0.021987907470161723,0.5812251519534022,1.1388935796394308,-0.9484992806990474,-0.228049041091394,0.16456689933427393,-0.03613609719486043,-0.5495408180967205,0.21320831830569315,-0.6438898853238016,-0.30214165902132567,0.9480563242859231,0.5867155035499617,0.03098691621582661,-1.2633773617372013,0.21002518402688095,-0.7668818413537629,0.296221525155349,0.5665902228909843,-0.2787620623410449,-0.6773515269080425,-0.3141542907136997,0.048457498824988704,-0.11222547126457295,0.26248541967345296,0.32778617799582455,0.7822430474824557,0.0027394830096559575,-0.0065184968613048525,0.14784111331324915,0.12772759113675927,-0.39028261512231416,0.052185084241446925,0.3260212551566543,-0.06882413351853728,-0.25811721643748003,-0.5061027486220732,0.15720044797761273,-0.6700159166383783,0.5837654726504122,-0.07181655532909943,-0.39405713420926197,0.47021718957904374,-0.5377356305353327,0.10532790659024113,-0.993673297601424,0.1008496205417782,-0.19615434376190866,0.8875956509533834,0.030466244030973373,0.1895303174739558,-0.18883756635754556,1.3183241852940852,0.0963346184647264
0.03701086468671131,-0.3929554612606595,0.4995724423822789,-0.22471380065238866,-0.007056870691920014,-0.3708857623864707,-0.5997704979008774,0.50526492314307,-0.04425792991613302,-0.7117755192794772,-0.7908724324231063,0.1139937566556258,0.10194616644785641,1.1499797067469004,-0.5270820005209728,-0.3681234004796967,0.09298473717311935,-0.1743230450242386,-0.23302851969748736,0.04181684814278759,-0.49884283628560233,-0.6824577132353946,0.9209556488419263,0.6913962833858686,0.3556376399478063,-1.3238654627515878,0.3985487843737584,-0.44283885316964955,-0.17147431118885134,0.576513467259709,0.13237537106171482,-0.3684442561987581,-0.21494687477281324,0.4111090377913714,0.27418096648494433,0.08251979550421927,0.7372912546830808,0.10853408370290973,0.0638999572076263,0.5599009700791604,0.3506535335494909,0.33192484563220087,0.05877038123580418,-0.12248752734040334,0.25018287000196315,-0.7506983202352541,-0.040194237440065714,-0.5139813552924734,-0.7746894400188773,-0.5139079127555553,0.38358104544828187,0.29659719324908035,0.16141530320947278,-0.006018602007389587,-0.09412069680569732,-0.0878079831205961,-0.3444281761708828,-0.024424704678202618,0.04120470877785807,0.4222139215374667,-0.05178408495898021,-0.14207725966649049,0.10311834671202784,0.648321307110157,-0.03870764459523779
-0.36319295530400053,-0.166312376123541,0.3422084929211704,-0.48640193245418123,0.7698737992256557,-0.4565285900475736,-0.2021925149770597,0.629388708950533,-0.6102144836186165,-0.4830512739775396,-1.5268418552079213,0.13238080798352309,1.3028661880559933,0.9516118139573487,-0.5587787841897068,-0.2434739701748954,-0.027947922804597708,-0.19894478159460313,-0.4086368219728594,-0.08966514967807618,-0.7798357995455585,-0.14546447286415498,1.2823925496102881,0.7115749964654852,0.012904665702189975,-0.6119491464960184,-0.02713511303200651,-0.5683562403554655,-0.3591037479309328,0.7218926927953219,-0.2853214961896431,-0.37597831968518974,-0.019987862559786164,0.2250230334170826,0.09262673031756256,0.1757749101834239,0.8778831030035543,0.49921312590394074,0.14199325981675426,0.3034446061097395,0.6038608804119405,0.2310309060688961,-0.2607514207973993,0.20303102839976972,-0.16768616172155967,-0.299097374569893,0.19994715945539493,-0.21722727818982623,-0.27477142312820535,-0.6785463235919358,0.4866746666250517,-0.07780187677086647,-0.3694196381066861,0.28957009692893326,-0.015856813515543813,-0.11319010710422674,-0.8715208951593173,0.007321976422535494,0.5968141320742202,1.042919497523931,0.021241652723554116,-0.4727948296778633,-0.4520690757506853,0.4100690438599389,0.12735485255114953
-0.15248962790824755,0.2247910739274953,-0.26759231578848036,-0.42579955567994593,0.5040957070815365,0.015564611722546952,-0.3636403300427357,0.22444588476648425,0.20978178693812738,-0.581980240770284,-0.8004320833488041,0.19134805146231704,0.3724314271926142,1.0904661470741255,-0.7159108767931391,-0.22957274008015474,-0.06179227291759328,0.10510154028420976,-0.25958646163680354,-0.10433333113487507,-1.207052946509364,-0.11150513084557671,1.0828343209109947,0.4496044373425032,0.005395695543491546,-0.7284836744421813,0.4746920209739136,-0.01268817952580982,-0.27104208705277233,0.6641946728041016,0.0072420311884158,-0.38884523367141655,-0.5694832988322123,0.7009430888621422,-0.16168811119000748,-0.21090946962139862,-0.07829378343931138,0.6836937272583375,0.6077618013389524,0.8021559714881227,0.3263244448612276,0.13880281515281212,0.3424097493151267,0.32883185577515006,0.31186342592271044,-0.7989872395813008,0.11894095882572642,-0.3159584138965499,-0.552627913646516,-0.18153275192525914,0.9177417598885147,0.14413261080008072,0.1331677237353253,0.2757746206115942,-0.21157887653912666,0.08836395127726637,-0.5226093977503061,-0.010656352932928385,-0.03295894369835329,0.5511375830096065,0.0381400058182905,-0.18253423572359673,0.20272440628348834,0.5391613473734561,-0.34403544868389535
